(3, 71.39423924450648, 'EAST')
(11, 72.98307548141419, 'EAST')
(12, 72.17386511668235, 'NORTH')
(15, 79.8281034704119, 'SOUTH')
(16, 80.72376573333952, 'SOUTH')
(17, 81.62947722483922, 'EAST')
(20, 73.80192201304537, 'EAST')
(22, 77.20028225357903, 'SOUTH')
(23, 78.06648130841413, 'SOUTH')
(24, 78.94237892205466, 'WEST')
(26, 82.54535069648871, 'EAST')
(29, 74.62997079468701, 'SOUTH')
(30, 75.46731058752621, 'SOUTH')
(31, 76.34295045844954, 'WEST')
(34, 84.40804092457351, 'EAST')
(35, 83.4715001645621, 'NORTH')
(39, 74.39781781782916, 'WEST')
(43, 85.35508956563932, 'EAST')
(48, 64.8863097098779, 'WEST')
(52, 86.3127639849926, 'EAST')
(53, 90.51903456910568, 'EAST')
(56, 59.66756995481123, 'SOUTH')
(57, 68.94981992730506, 'SOUTH')
(58, 70.31432055607144, 'SOUTH')
(59, 80.32521158926627, 'SOUTH')
(60, 81.47292839949202, 'SOUTH')
(61, 92.20298052160265, 'EAST')
(62, 91.62118640382897, 'EAST')
(66, 59.66756995481123, 'WEST')
(70, 93.67475869133705, 'EAST')
(71, 92.63575448194284, 'NORTH')
(79, 99.9999999999992, 'EAST')
